Epoch 69/4000 (1%) | Time: 00:00:14 | ETA: 16:00:42 | GPS: 16.681256 | blue Avg Loss: -0.079202 | red Avg Loss: -0.079934 | blue Avg Reward: 0.123315 | red Avg Reward: 0.748582 | Games Played: 250
Epoch 70/4000 (1%) | Time: 00:00:14 | ETA: 16:00:43 | GPS: 16.718072 | green Avg Loss: -0.084137 | blue Avg Loss: -0.078862 | green Avg Reward: 1.886459 | blue Avg Reward: 0.873633 | Games Played: 250
Epoch 71/4000 (1%) | Time: 00:00:14 | ETA: 16:00:21 | GPS: 17.218637 | red Avg Loss: -0.078868 | green Avg Loss: -0.079274 | red Avg Reward: 0.438986 | green Avg Reward: 0.781353 | Games Played: 250
Epoch 72/4000 (1%) | Time: 00:00:14 | ETA: 16:00:16 | GPS: 16.838757 | green Avg Loss: -0.079145 | red Avg Loss: -0.078958 | green Avg Reward: 1.370823 | red Avg Reward: 1.657711 | Games Played: 250
Epoch 73/4000 (1%) | Time: 00:00:14 | ETA: 15:59:47 | GPS: 17.351603 | blue Avg Loss: -0.078995 | green Avg Loss: -0.081974 | blue Avg Reward: 0.745996 | green Avg Reward: 0.611443 | Games Played: 250
Epoch 74/4000 (1%) | Time: 00:00:14 | ETA: 15:59:18 | GPS: 17.377496 | green Avg Loss: -0.079946 | blue Avg Loss: -0.078969 | green Avg Reward: 0.640338 | blue Avg Reward: 0.430885 | Games Played: 250
Epoch 75/4000 (1%) | Time: 00:00:14 | ETA: 15:58:37 | GPS: 17.655657 | blue Avg Loss: -0.079358 | green Avg Loss: -0.079191 | blue Avg Reward: 0.764912 | green Avg Reward: 0.271317 | Games Played: 250
Epoch 76/4000 (1%) | Time: 00:00:14 | ETA: 15:58:12 | GPS: 17.285941 | green Avg Loss: -0.079030 | red Avg Loss: -0.079414 | green Avg Reward: 0.300183 | red Avg Reward: 0.473309 | Games Played: 250
Epoch 77/4000 (1%) | Time: 00:00:14 | ETA: 15:57:52 | GPS: 17.199075 | blue Avg Loss: -0.080241 | green Avg Loss: -0.078897 | blue Avg Reward: 1.072108 | green Avg Reward: 0.416586 | Games Played: 250
Epoch 78/4000 (1%) | Time: 00:00:14 | ETA: 15:57:41 | GPS: 16.983540 | blue Avg Loss: -0.079377 | red Avg Loss: -0.080285 | blue Avg Reward: 1.799531 | red Avg Reward: 0.550721 | Games Played: 250
Epoch 79/4000 (1%) | Time: 00:00:14 | ETA: 15:57:37 | GPS: 16.814047 | blue Avg Loss: -0.079406 | red Avg Loss: -0.082852 | blue Avg Reward: 1.016165 | red Avg Reward: 1.467701 | Games Played: 250
Epoch 80/4000 (2%) | Time: 00:00:14 | ETA: 15:57:17 | GPS: 17.184095 | blue Avg Loss: -0.080262 | green Avg Loss: -0.079247 | blue Avg Reward: 1.137561 | green Avg Reward: 0.184627 | Games Played: 250
Epoch 81/4000 (2%) | Time: 00:00:14 | ETA: 15:56:55 | GPS: 17.233734 | green Avg Loss: -0.078980 | blue Avg Loss: -0.079372 | green Avg Reward: 0.586060 | blue Avg Reward: 1.909628 | Games Played: 250
Epoch 82/4000 (2%) | Time: 00:00:14 | ETA: 15:56:15 | GPS: 17.707452 | green Avg Loss: -0.079104 | red Avg Loss: -0.079142 | green Avg Reward: 0.091451 | red Avg Reward: 0.070609 | Games Played: 250
Epoch 83/4000 (2%) | Time: 00:00:14 | ETA: 15:55:40 | GPS: 17.599512 | blue Avg Loss: -0.079544 | green Avg Loss: -0.078858 | blue Avg Reward: 0.547164 | green Avg Reward: 0.286852 | Games Played: 250
Epoch 84/4000 (2%) | Time: 00:00:14 | ETA: 15:55:02 | GPS: 17.684525 | blue Avg Loss: -0.079412 | green Avg Loss: -0.079382 | blue Avg Reward: 0.116074 | green Avg Reward: 0.830222 | Games Played: 250
Epoch 85/4000 (2%) | Time: 00:00:13 | ETA: 15:54:04 | GPS: 18.243159 | green Avg Loss: -0.079804 | blue Avg Loss: -0.079081 | green Avg Reward: 1.273478 | blue Avg Reward: 0.126381 | Games Played: 250
Epoch 86/4000 (2%) | Time: 00:00:13 | ETA: 15:53:14 | GPS: 18.078934 | blue Avg Loss: -0.079147 | red Avg Loss: -0.078166 | blue Avg Reward: 0.535999 | red Avg Reward: 0.266218 | Games Played: 250
